Pressure (GPa)       Temperature (K)
  0.00000000e+00            -inf
  3.54405807e+02  5.69085784e+03
  3.54405807e+02  5.69085784e+03
  3.54405807e+02  5.69085784e+03
  3.54403169e+02  5.69084102e+03
  3.54395751e+02  5.69079375e+03
  3.54382458e+02  5.69070902e+03
  3.54362679e+02  5.69058294e+03
  3.54336038e+02  5.69041314e+03
  3.54302293e+02  5.69019805e+03
  3.54261276e+02  5.68993661e+03
  3.54212868e+02  5.68962806e+03
  3.54156981e+02  5.68927185e+03
  3.54093550e+02  5.68886754e+03
  3.54022522e+02  5.68841482e+03
  3.53943865e+02  5.68791346e+03
  3.53857534e+02  5.68736320e+03
  3.53763513e+02  5.68676391e+03
  3.53661779e+02  5.68611547e+03
  3.53552317e+02  5.68541777e+03
  3.53435115e+02  5.68467073e+03
  3.53310160e+02  5.68387428e+03
  3.53177446e+02  5.68302837e+03
  3.53036965e+02  5.68213296e+03
  3.52888725e+02  5.68118810e+03
  3.52732698e+02  5.68019359e+03
  3.52568896e+02  5.67914953e+03
  3.52397315e+02  5.67805589e+03
  3.52217955e+02  5.67691266e+03
  3.52030816e+02  5.67571986e+03
  3.51835900e+02  5.67447748e+03
  3.51633207e+02  5.67318554e+03
  3.51422741e+02  5.67184404e+03
  3.51204504e+02  5.67045302e+03
  3.50978517e+02  5.66901259e+03
  3.50744746e+02  5.66752256e+03
  3.50503218e+02  5.66598308e+03
  3.50253934e+02  5.66439417e+03
  3.49996900e+02  5.66275586e+03
  3.49732121e+02  5.66106818e+03
  3.49459603e+02  5.65933117e+03
  3.49179352e+02  5.65754488e+03
  3.48891373e+02  5.65570933e+03
  3.48595698e+02  5.65382472e+03
  3.48292285e+02  5.65189079e+03
  3.47981168e+02  5.64990776e+03
  3.47662353e+02  5.64787566e+03
  3.47335847e+02  5.64579454e+03
  3.47001659e+02  5.64366446e+03
  3.46659798e+02  5.64148546e+03
  3.46310270e+02  5.63925761e+03
  3.45953087e+02  5.63698095e+03
  3.45588256e+02  5.63465555e+03
  3.45215817e+02  5.63228166e+03
  3.44835719e+02  5.62985895e+03
  3.44448005e+02  5.62738769e+03
  3.44052683e+02  5.62486795e+03
  3.43649764e+02  5.62229977e+03
  3.43239257e+02  5.61968324e+03
  3.42821174e+02  5.61701842e+03
  3.42395526e+02  5.61430537e+03
  3.41962325e+02  5.61154418e+03
  3.41521615e+02  5.60873514e+03
  3.41073339e+02  5.60587787e+03
  3.40617547e+02  5.60297269e+03
  3.40154249e+02  5.60001967e+03
  3.39683456e+02  5.59701888e+03
  3.39205183e+02  5.59397041e+03
  3.38719441e+02  5.59087433e+03
  3.38226243e+02  5.58773073e+03
  3.37725604e+02  5.58453970e+03
  3.37217536e+02  5.58130132e+03
  3.36702094e+02  5.57801594e+03
  3.36179209e+02  5.57468312e+03
  3.35648939e+02  5.57130323e+03
  3.35111297e+02  5.56787634e+03
  3.34566297e+02  5.56440256e+03
  3.34013954e+02  5.56088198e+03
  3.33454283e+02  5.55731468e+03
  3.32887298e+02  5.55370077e+03
  3.32313016e+02  5.55004035e+03
  3.31731497e+02  5.54633380e+03
  3.31142666e+02  5.54258064e+03
  3.30546586e+02  5.53878128e+03
  3.29943271e+02  5.53493580e+03
  3.29332739e+02  5.53104433e+03
  3.28715006e+02  5.52710695e+03
  3.28090089e+02  5.52312378e+03
  3.27458004e+02  5.51909493e+03
  3.26818768e+02  5.51502050e+03
  3.26172400e+02  5.51090061e+03
  3.25518968e+02  5.50673569e+03
  3.24858386e+02  5.50252520e+03
  3.24190727e+02  5.49826959e+03
  3.23516006e+02  5.49396898e+03
  3.22834242e+02  5.48962348e+03
  3.22834242e+02  5.48962348e+03
  3.22157977e+02  5.48531303e+03
  3.21496008e+02  5.48109370e+03
  3.20828423e+02  5.47683857e+03
  3.20155112e+02  5.47254694e+03
  3.19476181e+02  5.46821950e+03
  3.18791573e+02  5.46385587e+03
  3.18101236e+02  5.45945572e+03
  3.17405279e+02  5.45504003e+03
  3.16703648e+02  5.45095677e+03
  3.15996289e+02  5.44684019e+03
  3.15283318e+02  5.44269094e+03
  3.14564625e+02  5.43850839e+03
  3.13840328e+02  5.43429323e+03
  3.13110374e+02  5.43004515e+03
  3.12374712e+02  5.42576385e+03
  3.11633465e+02  5.42145004e+03
  3.10886521e+02  5.41710308e+03
  3.10134006e+02  5.41272370e+03
  3.09375868e+02  5.40831160e+03
  3.08612058e+02  5.40386648e+03
  3.07842703e+02  5.39938910e+03
  3.07067753e+02  5.39487916e+03
  3.06287156e+02  5.39033635e+03
  3.05501048e+02  5.38576147e+03
  3.04709312e+02  5.38115384e+03
  3.03912088e+02  5.37602486e+03
  3.03109322e+02  5.36886139e+03
  3.02300966e+02  5.36164805e+03
  3.01487159e+02  5.35438606e+03
  3.00667784e+02  5.34707439e+03
  2.99842987e+02  5.33971433e+03
  2.99012714e+02  5.33230541e+03
  2.98176917e+02  5.32484720e+03
  2.97335741e+02  5.31734099e+03
  2.96489068e+02  5.30978572e+03
  2.95637048e+02  5.30218274e+03
  2.94779629e+02  5.29453157e+03
  2.93916760e+02  5.28683179e+03
  2.93048593e+02  5.28066353e+03
  2.92175077e+02  5.27534890e+03
  2.91296162e+02  5.27000141e+03
  2.90412002e+02  5.26462202e+03
  2.89522476e+02  5.25920997e+03
  2.88627743e+02  5.25376625e+03
  2.87727749e+02  5.24829052e+03
  2.86822445e+02  5.24278248e+03
  2.85911991e+02  5.23724310e+03
  2.84996264e+02  5.23167165e+03
  2.84075427e+02  5.22606910e+03
  2.83149427e+02  5.22043514e+03
  2.82218214e+02  5.21476947e+03
  2.81281954e+02  5.20907308e+03
  2.80340592e+02  5.20276965e+03
  2.79394078e+02  5.19585913e+03
  2.78442582e+02  5.18891224e+03
  2.77485975e+02  5.18192802e+03
  2.76524430e+02  5.17490776e+03
  2.75557894e+02  5.16785105e+03
  2.74586312e+02  5.16075751e+03
  2.73609862e+02  5.15362842e+03
  2.72628412e+02  5.14646283e+03
  2.71642140e+02  5.13926204e+03
  2.70650992e+02  5.13202563e+03
  2.69654914e+02  5.12475325e+03
  2.68654087e+02  5.11744618e+03
  2.67648455e+02  5.11033207e+03
  2.66637966e+02  5.10356926e+03
  2.65622803e+02  5.09677518e+03
  2.64602830e+02  5.08994890e+03
  2.63578235e+02  5.08309169e+03
  2.62548960e+02  5.07620315e+03
  2.61514952e+02  5.06928295e+03
  2.60476399e+02  5.06233232e+03
  2.59433165e+02  5.05535036e+03
  2.58385439e+02  5.04833835e+03
  2.57333165e+02  5.04129589e+03
  2.56276289e+02  5.03402343e+03
  2.55215005e+02  5.02514498e+03
  2.54149171e+02  5.01622847e+03
  2.53078983e+02  5.00727554e+03
  2.52004385e+02  4.99828571e+03
  2.50925321e+02  4.98925852e+03
  2.49841989e+02  4.98019563e+03
  2.48754331e+02  4.97109654e+03
  2.47662293e+02  4.96196082e+03
  2.46566073e+02  4.95279011e+03
  2.45465529e+02  4.94358322e+03
  2.44360864e+02  4.93434186e+03
  2.43252019e+02  4.92506553e+03
  2.42138937e+02  4.91575376e+03
  2.41021826e+02  4.90640827e+03
  2.39900537e+02  4.89702784e+03
  2.38775278e+02  4.88761419e+03
  2.37645991e+02  4.87824756e+03
  2.36512620e+02  4.86939815e+03
  2.35375373e+02  4.86051847e+03
  2.34234191e+02  4.85160808e+03
  2.33089017e+02  4.84266652e+03
  2.31940063e+02  4.83369543e+03
  2.30787179e+02  4.82469367e+03
  2.29630579e+02  4.81566289e+03
  2.28470205e+02  4.80660264e+03
  2.27305998e+02  4.79751246e+03
  2.26138173e+02  4.78839404e+03
  2.24966581e+02  4.77924619e+03
  2.23791438e+02  4.77014525e+03
  2.22612685e+02  4.76286316e+03
  2.21430264e+02  4.75555841e+03
  2.20244395e+02  4.74823236e+03
  2.19054923e+02  4.74088405e+03
  2.17862072e+02  4.73351487e+03
  2.16665780e+02  4.72612442e+03
  2.15465990e+02  4.71871237e+03
  2.14262924e+02  4.71128008e+03
  2.13056523e+02  4.70382719e+03
  2.11846727e+02  4.69635332e+03
  2.10633763e+02  4.68885988e+03
  2.09417472e+02  4.68134589e+03
  2.08198086e+02  4.67296041e+03
  2.06975541e+02  4.66341473e+03
  2.05749779e+02  4.65384393e+03
  2.04521029e+02  4.64424980e+03
  2.03289133e+02  4.63463111e+03
  2.02054323e+02  4.62498965e+03
  2.00816537e+02  4.61532497e+03
  1.99575716e+02  4.60563659e+03
  1.98332093e+02  4.59592633e+03
  1.97085606e+02  4.58619371e+03
  1.95836197e+02  4.57643827e+03
  1.94584098e+02  4.56637552e+03
  1.93329151e+02  4.55461710e+03
  1.92071591e+02  4.54283421e+03
  1.90811358e+02  4.53102626e+03
  1.89548391e+02  4.51919271e+03
  1.88282928e+02  4.50733576e+03
  1.87014809e+02  4.49545393e+03
  1.85744272e+02  4.48354944e+03
  1.84471255e+02  4.47162172e+03
  1.83195700e+02  4.45967022e+03
  1.81917846e+02  4.44919023e+03
  1.80637631e+02  4.43875966e+03
  1.79354997e+02  4.42830937e+03
  1.78070185e+02  4.41784133e+03
  1.76783032e+02  4.40735422e+03
  1.75493781e+02  4.39685003e+03
  1.74202371e+02  4.38632823e+03
  1.72908743e+02  4.37578837e+03
  1.71613141e+02  4.36523243e+03
  1.70315402e+02  4.35465907e+03
  1.69015771e+02  4.34348704e+03
  1.67714188e+02  4.33187239e+03
  1.66410591e+02  4.32023978e+03
  1.65105230e+02  4.30859142e+03
  1.63797939e+02  4.29692584e+03
  1.62488965e+02  4.28524524e+03
  1.61178249e+02  4.27354910e+03
  1.59865731e+02  4.26183687e+03
  1.58551659e+02  4.25011078e+03
  1.57235971e+02  4.23837027e+03
  1.55918610e+02  4.22661483e+03
  1.54599824e+02  4.21484668e+03
  1.53279450e+02  4.20306435e+03
  1.51957739e+02  4.19127009e+03
  1.50634628e+02  4.17946335e+03
  1.49310060e+02  4.16764360e+03
  1.47984287e+02  4.15581309e+03
  1.46657142e+02  4.14397035e+03
  1.45328880e+02  4.13211763e+03
  1.43999440e+02  4.12025440e+03
  1.42668762e+02  4.10838013e+03
  1.41337100e+02  4.09649708e+03
  1.40004394e+02  4.08460471e+03
  1.38670585e+02  4.07270250e+03
  1.37335927e+02  4.06079271e+03
  1.36000255e+02  3.77723346e+03
  1.34663827e+02  3.64900406e+03
  1.34663827e+02  3.64900406e+03
  1.33857059e+02  3.30344375e+03
  1.33057502e+02  3.15041475e+03
  1.32260440e+02  3.03661379e+03
  1.31465781e+02  2.94595375e+03
  1.30673434e+02  2.86817834e+03
  1.29883483e+02  2.80621294e+03
  1.29095778e+02  2.76403854e+03
  1.28310405e+02  2.74700864e+03
  1.27527275e+02  2.73088193e+03
  1.26746302e+02  2.71479963e+03
  1.25967569e+02  2.69876347e+03
  1.25967569e+02  2.69876347e+03
  1.25234676e+02  2.68367126e+03
  1.24507766e+02  2.66870227e+03
  1.23782649e+02  2.65377020e+03
  1.23059414e+02  2.63887688e+03
  1.22337982e+02  2.62402070e+03
  1.21618331e+02  2.60920120e+03
  1.20900442e+02  2.60105417e+03
  1.20184235e+02  2.59408212e+03
  1.19469804e+02  2.58712734e+03
  1.18757069e+02  2.58018908e+03
  1.18046013e+02  2.57326717e+03
  1.17336615e+02  2.56636139e+03
  1.16628802e+02  2.55947104e+03
  1.15922663e+02  2.55259699e+03
  1.15218126e+02  2.54573853e+03
  1.14515173e+02  2.53889549e+03
  1.13813729e+02  2.53206715e+03
  1.13113888e+02  2.52525440e+03
  1.12415577e+02  2.51845656e+03
  1.11718780e+02  2.51167344e+03
  1.11023479e+02  2.50490490e+03
  1.10329605e+02  2.49815024e+03
  1.09637249e+02  2.49141036e+03
  1.08946341e+02  2.48468458e+03
  1.08256866e+02  2.47938447e+03
  1.07568808e+02  2.47477957e+03
  1.06882100e+02  2.47018370e+03
  1.06196833e+02  2.46559748e+03
  1.05512941e+02  2.46102046e+03
  1.04830407e+02  2.45645253e+03
